DEAL_ID,STAGE_CREATED_AT,PIPELINE_ID,PIPELINE_NAME,DEAL_STAGE_ID,STAGE_NAME,STAGE_DISPLAY_ORDER
13549708943,2023-07-07T17:40:15.452Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
13549708943,2023-06-19T14:41:10.108Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13549708943,2023-06-12T14:59:44.931Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13549708943,2023-06-08T07:48:01.302Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13551158026,2023-06-16T20:19:05.423Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
13551158026,2023-06-09T11:38:02.389Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13573188254,2023-06-12T12:23:27.257Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13573188254,2023-06-09T14:29:39.666Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13586942334,2023-06-08T11:29:56.617Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13586942334,2023-06-05T16:29:47.717Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13586942334,2023-06-05T15:32:22.916Z,default,Mid Market Pipeline,7960224,Lead Engaged,1
13599586429,2023-06-16T13:46:19.391Z,default,Mid Market Pipeline,50c5d313-d204-4ec7-9a0e-203e0a4c02c1,Qualified,6
13599586429,2023-06-09T15:21:31.226Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13603197048,2023-10-31T17:46:26.67Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
13603197048,2023-09-27T02:19:29.681Z,default,Mid Market Pipeline,7a4a93c3-1a67-41df-a897-eebfb3635996,Proof of Value,7
13603197048,2023-06-20T12:20:48.096Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13603354040,2023-06-14T21:20:58.993Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
13616551787,2023-06-23T19:52:21.492Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
